2026-03-28T08:30:00Z | Alert: [AUTH] Multiple MFA push requests sent to user: employee1 | SID: 550001 | Source: 88.21.90.7 | Dest: 10.10.1.20 | Priority: 1
2026-03-28T08:30:05Z | Alert: [AUTH] MFA push request repeated for user: employee1 | SID: 550002 | Source: 88.21.90.7 | Dest: 10.10.1.20 | Priority: 1
2026-03-28T08:30:10Z | Alert: [ALERT] Unusual MFA activity detected | SID: 550003 | Source: 88.21.90.7 | Dest: 10.10.1.20 | Priority: 1
2026-03-28T08:30:14Z | Alert: [AUTH] MFA push requests continue every few seconds | SID: 550004 | Source: 88.21.90.7 | Dest: 10.10.1.20 | Priority: 1
2026-03-28T08:30:18Z | Alert: [AUTH] MFA push notification burst observed | SID: 550005 | Source: 88.21.90.7 | Dest: 10.10.1.20 | Priority: 1
2026-03-28T08:31:20Z | Alert: [AUTH] MFA request approved by user: employee1 | SID: 550006 | Source: 88.21.90.7 | Dest: 10.10.1.20 | Priority: 1
2026-03-28T08:31:23Z | Alert: [ALERT] MFA approval after multiple requests | SID: 550007 | Source: 88.21.90.7 | Dest: 10.10.1.20 | Priority: 1
2026-03-28T08:31:40Z | Alert: [LOGIN] Successful login for user: employee1 from IP: 88.21.90.7 | SID: 550008 | Source: 88.21.90.7 | Dest: 10.10.1.12 | Priority: 1
2026-03-28T08:31:46Z | Alert: [WARNING] Login from unusual location/device | SID: 550009 | Source: 88.21.90.7 | Dest: 10.10.1.12 | Priority: 1
2026-03-28T08:31:52Z | Alert: [SESSION] New device fingerprint linked to employee1 session | SID: 550010 | Source: 88.21.90.7 | Dest: 10.10.1.12 | Priority: 2
2026-03-28T08:32:10Z | Alert: [ACCESS] Access to internal admin panel | SID: 550011 | Source: 88.21.90.7 | Dest: 10.10.2.20 | Priority: 1
2026-03-28T08:32:18Z | Alert: [NETWORK] Multiple internal systems accessed | SID: 550012 | Source: 88.21.90.7 | Dest: 10.10.3.15 | Priority: 1
2026-03-28T08:32:26Z | Alert: [ALERT] Suspicious internal navigation detected | SID: 550013 | Source: 88.21.90.7 | Dest: 10.10.3.15 | Priority: 1
